team,team_long,quote,comma,conference,logo,github,png,link
"University of California, Irvine (Men's)","""University of California, Irvine (Men's)"",","""",",",Big West,uci,https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/,.png,"""https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/uci.png"","
"California State University, Northridge (Men's)","""California State University, Northridge (Men's)"",","""",",",Big West,csun,https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/,.png,"""https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/csun.png"","
"University of California, San Diego (Men's)","""University of California, San Diego (Men's)"",","""",",",Big West,ucsd,https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/,.png,"""https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/ucsd.png"","
"University of California, Santa Barbara (Men's)","""University of California, Santa Barbara (Men's)"",","""",",",Big West,ucsb,https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/,.png,"""https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/ucsb.png"","
University of Hawaii (Men's),"""University of Hawaii (Men's)"",","""",",",Big West,hawaii,https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/,.png,"""https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/hawaii.png"","
"California State University, Long Beach (Men's)","""California State University, Long Beach (Men's)"",","""",",",Big West,lbsu,https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/,.png,"""https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/lbsu.png"","
Pennsylvania State University (Men's),"""Pennsylvania State University (Men's)"",","""",",",EIVA,pennstate,https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/,.png,"""https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/pennstate.png"","
Princeton University (Men's),"""Princeton University (Men's)"",","""",",",EIVA,princeton,https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/,.png,"""https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/princeton.png"","
George Mason University (Men's),"""George Mason University (Men's)"",","""",",",EIVA,georgemason,https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/,.png,"""https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/georgemason.png"","
New Jersey Institute of Technology (Men's),"""New Jersey Institute of Technology (Men's)"",","""",",",EIVA,njit,https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/,.png,"""https://raw.githubusercontent.com/volleydork/volleyR/main/ncaa_logos/njit.png"","
