ranking,school,conference,conference_long,season,gender,league,division,rank_type,school_vm
54,Albany,America East,America East,2007,women,NCAA,D1,Pablo,University at Albany
61,Albany,America East,America East,2005,women,NCAA,D1,Pablo,University at Albany
61,Albany,America East,America East,2008,women,NCAA,D1,Pablo,University at Albany
93,Albany,America East,America East,2009,women,NCAA,D1,Pablo,University at Albany
96,Albany,America East,America East,2011,women,NCAA,D1,Pablo,University at Albany
99,Albany,America East,America East,2004,women,NCAA,D1,Pablo,University at Albany
138,Albany,America East,America East,2006,women,NCAA,D1,Pablo,University at Albany
155,Albany,America East,America East,2015,women,NCAA,D1,Pablo,University at Albany
158,Albany,America East,America East,2003,women,NCAA,D1,Pablo,University at Albany
166,Albany,America East,America East,2019,women,NCAA,D1,Pablo,University at Albany
168,Albany,America East,America East,2017,women,NCAA,D1,Pablo,University at Albany
171,Albany,America East,America East,2010,women,NCAA,D1,Pablo,University at Albany
187,Albany,America East,America East,2018,women,NCAA,D1,Pablo,University at Albany
192,Albany,America East,America East,2016,women,NCAA,D1,Pablo,University at Albany
209,Albany,America East,America East,2002,women,NCAA,D1,Pablo,University at Albany
215,Albany,America East,America East,2012,women,NCAA,D1,Pablo,University at Albany
226,Albany,America East,America East,2021,women,NCAA,D1,Pablo,University at Albany
253,Albany,America East,America East,2014,women,NCAA,D1,Pablo,University at Albany
257,Albany,America East,America East,1999,women,NCAA,D1,Pablo,University at Albany
259,Albany,America East,America East,2013,women,NCAA,D1,Pablo,University at Albany
279,Albany,America East,America East,2022,women,NCAA,D1,Pablo,University at Albany
281,Albany,America East,America East,2001,women,NCAA,D1,Pablo,University at Albany
289,Albany,America East,America East,2000,women,NCAA,D1,Pablo,University at Albany
,Albany,America East,America East,2020,women,NCAA,D1,Pablo,University at Albany
141,Binghamton,America East,America East,2005,women,NCAA,D1,Pablo,Binghamton University
142,Binghamton,America East,America East,2008,women,NCAA,D1,Pablo,Binghamton University
143,Binghamton,America East,America East,2007,women,NCAA,D1,Pablo,Binghamton University
162,Binghamton,America East,America East,2022,women,NCAA,D1,RPI,Binghamton University
165,Binghamton,America East,America East,2022,women,NCAA,D1,Pablo,Binghamton University
181,Binghamton,America East,America East,2009,women,NCAA,D1,Pablo,Binghamton University
194,Binghamton,America East,America East,2006,women,NCAA,D1,Pablo,Binghamton University
206,Binghamton,America East,America East,2012,women,NCAA,D1,Pablo,Binghamton University
217,Binghamton,America East,America East,2016,women,NCAA,D1,Pablo,Binghamton University
220,Binghamton,America East,America East,2017,women,NCAA,D1,Pablo,Binghamton University
225,Binghamton,America East,America East,2003,women,NCAA,D1,Pablo,Binghamton University
231,Binghamton,America East,America East,2004,women,NCAA,D1,Pablo,Binghamton University
249,Binghamton,America East,America East,2010,women,NCAA,D1,Pablo,Binghamton University
260,Binghamton,America East,America East,2001,women,NCAA,D1,Pablo,Binghamton University
262,Binghamton,America East,America East,2002,women,NCAA,D1,Pablo,Binghamton University
263,Binghamton,America East,America East,2011,women,NCAA,D1,Pablo,Binghamton University
269,Binghamton,America East,America East,2015,women,NCAA,D1,Pablo,Binghamton University
279,Binghamton,America East,America East,2013,women,NCAA,D1,Pablo,Binghamton University
280,Binghamton,America East,America East,2014,women,NCAA,D1,Pablo,Binghamton University
308,Binghamton,America East,America East,2018,women,NCAA,D1,Pablo,Binghamton University
322,Binghamton,America East,America East,2019,women,NCAA,D1,Pablo,Binghamton University
326,Binghamton,America East,America East,2021,women,NCAA,D1,Pablo,Binghamton University
,Binghamton,America East,America East,1999,women,NCAA,D1,Pablo,Binghamton University
,Binghamton,America East,America East,2000,women,NCAA,D1,Pablo,Binghamton University
,Binghamton,America East,America East,2020,women,NCAA,D1,Pablo,Binghamton University
170,Bryant,America East,America East,2022,women,NCAA,D1,RPI,Bryant University
216,Hartford,America East,America East,2019,women,NCAA,D1,Pablo,University of Hartford
232,Hartford,America East,America East,1999,women,NCAA,D1,Pablo,University of Hartford
245,Hartford,America East,America East,2003,women,NCAA,D1,Pablo,University of Hartford
250,Hartford,America East,America East,2002,women,NCAA,D1,Pablo,University of Hartford
251,Hartford,America East,America East,2000,women,NCAA,D1,Pablo,University of Hartford
267,Hartford,America East,America East,2007,women,NCAA,D1,Pablo,University of Hartford
274,Hartford,America East,America East,2011,women,NCAA,D1,Pablo,University of Hartford
284,Hartford,America East,America East,2014,women,NCAA,D1,Pablo,University of Hartford
285,Hartford,America East,America East,2001,women,NCAA,D1,Pablo,University of Hartford
285,Hartford,America East,America East,2013,women,NCAA,D1,Pablo,University of Hartford
291,Hartford,America East,America East,2018,women,NCAA,D1,Pablo,University of Hartford
298,Hartford,America East,America East,2004,women,NCAA,D1,Pablo,University of Hartford
